"Timestamp","In the past 12 months, has any household member done the following? (Check all that apply) [Visited the Community Center]","In the past 12 months, has any household member done the following? (Check all that apply) [Used town swimming facilities]","In the past 12 months, has any household member done the following? (Check all that apply) [Used town recreational fields or courts]","In the past 12 months, has any household member done the following? (Check all that apply) [Used Pine Meadows golf course]","In the past 12 months, has any household member done the following? (Check all that apply) [Used a school or neighborhood playground]","In the past 12 months, has any household member done the following? (Check all that apply) [Used the Minuteman Bikeway]","In the past 12 months, has any household member done the following? (Check all that apply) [Used Lexpress bus]","In the past 12 months, has any household member done the following? (Check all that apply) [Visited Lexington conservation areas]","In the past 12 months, has any household member done the following? (Check all that apply) [Directly received fire or police services]","In the past 12 months, has any household member done the following? (Check all that apply) [Attended Lexington public schools]","In the past 12 months, has any household member done the following? (Check all that apply) [Participated in any town provided program or service for seniors]","In the past 12 months, has any household member done the following? (Check all that apply) [Used Cary library or attended a library event]","In the past 12 months, has any household member done the following? (Check all that apply) [Served town government in any capacity (employee, committee member, town meeting member, elected representative)]","Are you aware that the Recreation & Community Programs Department offers financial aid for programs and services?","Has a household member received this type of financial assistance to participate in a program or service? ","If your primary residence is rental, please indicate your monthly rental cost: ","If you own your primary residence, please indicate your total monthly housing payment (mortgage, insurance, property taxes):","Do you receive a property tax deferral or property tax credit due to limited income?","What level of stress does your household experience with payment of monthly housing costs?","Please elaborate or share any additional thoughts. ","Thinking about all the costs of living in your owned property or rental (rent/mortgage, home maintenance, condo fees, property taxes, insurance, utilities), what portion of these costs do you estimate is related to property taxes?","Are you responsible for the housing costs at your residence (i.e. owner or lessee)?","Are you considering relocating away from Lexington in the next 10 years?","Age (respondent)","Size of household (number of people)","Disabilities within household (check all that apply)","Length of time living in town (respondent)","What type of property is your residence?","Approximate market property value of your Lexington residence (if owned):","Please indicate your approximate household income in the past 12 months","Please indicate how the survey was shared with you (any groups or lists or whether it was forwarded to you.)","Please share any comments to the survey team about this survey. Thank you."
"2018/10/09 7:20:43 PM EST","No","No","No","No","Yes","Yes","No","No","Yes","No","No","Yes","No","No","No","","N/A","No","None","Mortgage paid","N/A","Yes","Undecided - Possible","70-79 years","1","","moved in 1979 and earlier","single family home","$1,250,000-$1,499,999","$100,000-$149,999","Lexington yahoo listserve",""
"2018/10/09 7:27:16 PM EST","No","No","No","No","No","No","No","No","No","Yes","No","Yes","No","N/A","N/A","N/A","$4,001-$6,000","No","Some","The town needs to stop spending so much money expecting the residence to continually cover the cost of whatever it is.  No doubt the town needs many things but it needs to spread out the expenses over a longer period of time.  Our taxes have tripled for same services and the McMansions while paying three times in taxes the town manages to spend that and more.    Stop the spending!","Significant (51-75%)","Yes","Definitely","60-69 years","4","none of the above","moved in 1990-1999","single family home","$1,000,000-$1,249,999","","The Lexington List (lexington@yahoogroups.com)","While the town needs many things it spends money without thinking about how negatively this will effect the people who live in Lexington.  Making living here affordable.     The town has also allowed the Schools to be bullied into becoming stress factories.    It use to be that if you needed more of a challenge you went to private school.  Now kids are going to private schools to get away from the out of control Public Schools!     Kids take Russian Math in Summer School then expect to be taught even more advanced Math in school!   This is ridiculous!  "
"2018/10/09 7:29:02 PM EST","No","No","No","No","No","Yes","Yes","Yes","No","No","No","Yes","No","No","No","","$10,001+","No","Some","","Significant (51-75%)","Yes","Undecided - Possible","50-59 years","3","none of the above","moved in 2000-2009","single family home","$1,500,000-$1,749,999","$200,000 and over","",""
"2018/10/09 7:35:57 PM EST","No","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No","No","No","","$4,001-$6,000","No","None","","Some (26-50%)","Yes","Likely","40-49 years","4","none of the above","moved in 2000-2009","single family home","$1,000,000-$1,249,999","$200,000 and over","Lexington yahoo group email list",""
"2018/10/09 7:37:24 PM EST","No","Yes","Yes","No","Yes","Yes","No","Yes","No","Yes","No","Yes","No","Yes","No","","$2,001-$4,000","No","Some","","Some (26-50%)","Yes","Unlikely","40-49 years","4","none of the above","moved in 2015 or later","single family home","$1,000,000-$1,249,999","$150,000-$199,999","",""
"2018/10/09 7:41:54 PM EST","Yes","No","Yes","No","Yes","Yes","No","Yes","No","Yes","No","Yes","No","No","No","N/A","$4,001-$6,000","No","Little","","Little (1-25%)","Yes","Unlikely","40-49 years","3","none of the above","moved in 2000-2009","single family home","$750,000-$999,999","$200,000 and over","Listserv",""
"2018/10/09 7:42:24 PM EST","Yes","No","No","No","Yes","Yes","No","Yes","No","No","Yes","Yes","No","No","No","","$2,001-$4,000","No","None","","Some (26-50%)","Yes","Undecided - Possible","60-69 years","2","none of the above","moved in 1980-1989","","$750,000-$999,999","$150,000-$199,999","Lexington Listserv",""
"2018/10/09 7:43:49 PM EST","Yes","No","Yes","No","Yes","Yes","No","Yes","","No","No","Yes","Yes","Yes","No","","$2,001-$4,000","No","Substantial","Though we appreciate all Lexington has to offer that we pay for with our taxes, it is unlikely we will be able to remain long term.  Taxes are pricing us out as well as there being limited housing appropriate for aging adults.","Some (26-50%)","Yes","Likely","50-59 years","4","none of the above","moved in 1990-1999","single family home","$750,000-$999,999","$100,000-$149,999","",""
"2018/10/09 7:45:50 PM EST","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No","Yes","Yes","Yes","No","","$4,001-$6,000","No","None","","Little (1-25%)","Yes","Undecided - Possible","50-59 years","5+","with a cognitive difficulty;with a self-care difficulty","moved in 2000-2009","single family home","$1,750,000-$1,999,999","$200,000 and over","",""
"2018/10/09 7:48:47 PM EST","Yes","Yes","","","Yes","Yes","","Yes","","Yes","","Yes","","No","No","","$4,001-$6,000","No","Some","","Little (1-25%)","Yes","Likely","50-59 years","5+","N/A","moved in 2000-2009","single family home","$1,250,000-$1,499,999","$200,000 and over","lex list",""
"2018/10/09 7:54:04 PM EST","Yes","No","Yes","No","Yes","No","No","Yes","No","Yes","No","No","No","No","N/A","","$6,001-$8,000","No","Some","","Some (26-50%)","Yes","Unlikely","40-49 years","5+","none of the above","moved in 2000-2009","single family home","$1,500,000-$1,749,999","","",""
"2018/10/09 8:02:54 PM EST","Yes","No","Yes","No","No","Yes","No","Yes","No","No","Yes","Yes","Yes","No","No","","$6,001-$8,000","No","Some","","Little (1-25%)","Yes","Definitely","50-59 years","3","none of the above","moved in 2000-2009","single family home","$2,000,000 and more","$150,000-$199,999","Lexington liatserv",""
"2018/10/09 8:05:44 PM EST","Yes","No","No","No","No","Yes","Yes","Yes","No","Yes","No","Yes","No","Yes","No","","$4,001-$6,000","No","Some","","Some (26-50%)","Yes","Likely","50-59 years","4","none of the above","moved in 2000-2009","single family home","$1,000,000-$1,249,999","$200,000 and over","Lexington Listserv","We will be downsizing in the next 5-10 years. The combination of property taxes and the lack of new, smaller private homes in good condition, we do not anticipate being able to stay in Lexington. Living in a complex (e.g. Potter Pond) and paying common charges is not an option that we are willing to consider. Therefore, we will most likely be moving out of Lexington."
"2018/10/09 8:05:47 PM EST","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","","Yes","","Yes","No","","$2,001-$4,000","No","None","","","","Have not considered","40-49 years","3","none of the above","moved in 1979 and earlier","","$500,000-$749,999","$75,000-$99,000","","Would have given it more time if more information was shared about who and why "
"2018/10/09 8:08:10 PM EST","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","","$2,001-$4,000","Yes","Significant","Although I'm entirely eligible for Lexington property tax deferral program, my mortgage holder refuses to allow my participation owing to legal technicalities in the structure of the program that the bank says inconveniences them.","Some (26-50%)","Yes","Undecided - Possible","60-69 years","3","with a cognitive difficulty","moved in 2000-2009","single family home","$500,000-$749,999","$35,000-$49,999","Lexington List email (Harry Forsdick moderates)","My mortgage holder (my mortgage originator sold my loan to Chase) denies my participation in the town's state-enabled property tax deferral program for an arbitrary, trivial reason not based on my circumstances such as loan-to-value ratio, credit rating, and so on.  I didn't know to anticipate this stumbling block.  Might a coordinated persuasion/lobbying effort (with notable townspeople on board) to change the bank's policy be arranged?  The Center for Study of Retirement at Boston College says that about 26 states have property tax deferral programs--I'm not making an extraordinary request of the bank. 
Community Reinvestment rules may be interpreted to require that banks support a senior citizen property tax deferral program.  //  It's documented that I'm hard working, accomplished, and capable, yet since the last recession I've faced barriers to employment that I would not have imagined.  Also I have two post-high-school sons at home who, with neurocognitive disabilities and mental health concerns, require special support.   My 28-year-old son cannot earn a living."
"2018/10/09 8:13:32 PM EST","Yes","No","Yes","No","Yes","Yes","No","No","No","Yes","No","Yes","No","No","No","","$2,001-$4,000","No","Little","","Little (1-25%)","Yes","Undecided - Possible","40-49 years","4","none of the above","moved in 2015 or later","condominium","$500,000-$749,999","$200,000 and over","Lexington email list",""
"2018/10/09 8:13:47 PM EST","Yes","Yes","Yes","No","Yes","Yes","No","Yes","No","Yes","Yes","Yes","No","No","No","","$6,001-$8,000","No","Little","","Little (1-25%)","Yes","Undecided - Possible","40-49 years","3","none of the above","moved in 2010-2014","single family home","$1,500,000-$1,749,999","$200,000 and over","Lexington List via Mark Andersen","While housing and living expenses are not stressful for my family, they are for many in Lexington. And many of those people move out, decreasing the economic diversity of our town. This, in turn, makes Lexington more homogeneous economically, with more high income families. In my opinion, this makes the town less appealing for many."
"2018/10/09 8:18:14 PM EST","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No","Yes","No","","$2,001-$4,000","No","Significant","","Some (26-50%)","Yes","Likely","","4","none of the above","moved in 2000-2009","single family home","$750,000-$999,999","$100,000-$149,999","",""
"2018/10/09 8:20:31 PM EST","Yes","No","Yes","No","No","Yes","No","Yes","No","No","No","No","Yes","N/A","N/A","","$2,001-$4,000","No","Some"," in 20 years  we have seen an increase in taxes about 75% of the original ($9000)
We started with a $12,000 ar $21,000 ","Substantial (76-100%)","Yes","Have not considered","50-59 years","4","none of the above","moved in 1990-1999","single family home","$1,500,000-$1,749,999","$200,000 and over","list serve",""
"2018/10/09 8:24:20 PM EST","Yes","No","Yes","No","No","No","No","Yes","Yes","Yes","No","Yes","Yes","No","N/A","","$2,001-$4,000","No","Some","taxes seem high; seems like town can try to reduce costs more","Some (26-50%)","Yes","Undecided - Possible","60-69 years","4","none of the above","moved in 1990-1999","single family home","$1,250,000-$1,499,999","$150,000-$199,999","Lexington list serv","Schools are critical to town and worth supporting fully; should try to limit increase in school population due to crowding that means limit development; open space is great to maintain; public works needs to step up and do more gardening that the elderly ladies in the garden club are doing now including the French garden; there are ways to reduce property taxes and every penny should be tried to be found to get them lower; try to get unions to contribute 25% to health care would be one savings; also if no matching funds best not to collect ""extra"" tax payments; every elementary school needs before school care for working parents (8:45 is insane) or use the Hayden and send buses from there"
"2018/10/09 8:27:55 PM EST","Yes","No","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No","No","No","","$2,001-$4,000","No","Some","","Some (26-50%)","Yes","Undecided - Possible","40-49 years","4","none of the above","moved in 2010-2014","single family home","$1,500,000-$1,749,999","$150,000-$199,999","Lexington Town mailing group (Yahoo)",""
"2018/10/09 8:32:32 PM EST","Yes","Yes","Yes","No","Yes","Yes","No","Yes","Yes","Yes","No","Yes","No","No","No","","","No","Some","","Significant (51-75%)","Yes","Unlikely","31-39 years","4","none of the above","moved in 2000-2009","single family home","$1,000,000-$1,249,999","$100,000-$149,999","Lexington Listserve","I think it's important to note in your questionnaire regarding if people are considering leaving (when interpreting findings) that responses may not be related to the costs (for us, it has nothing to do with taxes, etc- it's the cold weather so relocating would be to a warmer state!).  "
"2018/10/09 8:36:59 PM EST","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No","Yes","No","","$10,001+","No","None","Lexington is an expensive town since it has good schools and services.  It is appropriate in my opinion that folks who live in Lexington should expect to pay a lot for housing, mortgages and taxes.","N/A","Yes","Unlikely","60-69 years","3","with a hearing difficulty","moved in 1990-1999","single family home","$750,000-$999,999","N/A","Lexington Listserve","I am always shocked and disappointed when folks say there should be affordable/low income housing in Lexington.  Lexington is an expensive town due to the great town it is including services, schools, location, visible beauty, etc.  Therefore it makes no sense to me that we should pretend that we should have affordable/low income housing.  "
"2018/10/09 8:37:54 PM EST","Yes","No","No","No","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No","No","No","","$4,001-$6,000","No","Some","","Little (1-25%)","Yes","Definitely","40-49 years","3","none of the above","moved in 2010-2014","single family home","$750,000-$999,999","$150,000-$199,999","facebook",""
"2018/10/09 8:38:35 PM EST","","","Yes","","Yes","","","Yes","","Yes","","Yes","Yes","No","No","","$2,001-$4,000","No","Some","","Significant (51-75%)","Yes","Undecided - Possible","31-39 years","4","none of the above","moved in 2010-2014","single family home","$750,000-$999,999","$150,000-$199,999","Facebook- Lexington Mavens",""
"2018/10/09 8:40:28 PM EST","No","No","Yes","No","Yes","Yes","No","Yes","No","Yes","No","Yes","No","No","No","$3000-$4499","","No","Significant","","N/A","Yes","Likely","31-39 years","5+","with a cognitive difficulty;with a self-care difficulty","moved in 2015 or later","apartment","I don't live in a property owned by a family member","$200,000 and over","Lexington email group ",""
"2018/10/09 8:43:26 PM EST","No","No","No","No","No","Yes","No","Yes","No","No","No","No","No","No","No","$1500-2999","","No","Substantial","I am paying $2,400 for a one bedroom with a study. The complex just renovated my kitchen and bath and I am terrified that they will raise my rent significantly and price me out...","Significant (51-75%)","No","Undecided - Possible","40-49 years","1","none of the above","moved in 2000-2009","apartment","","$75,000-$99,000","",""
"2018/10/09 8:44:12 PM EST","Yes","Yes","Yes","No","","Yes","Yes","Yes","","Yes","No","Yes","No","No","No","","$8,001-$10,000","No","Some","","Little (1-25%)","Yes","Likely","40-49 years","5+","none of the above","moved in 2015 or later","single family home","$1,500,000-$1,749,999","$200,000 and over","Lexington Mavens","We won't be able to afford to stay in Lexington when we retire."
"2018/10/09 8:44:22 PM EST","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","$1500-2999","","No","Some","","Some (26-50%)","No","Likely","31-39 years","4","none of the above","moved in 1980-1989","single family home","$750,000-$999,999","$75,000-$99,000","",""
"2018/10/09 8:47:25 PM EST","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No","No","No","","$2,001-$4,000","No","Little","","Significant (51-75%)","Yes","Undecided - Possible","40-49 years","5+","none of the above","moved in 2000-2009","single family home","$1,000,000-$1,249,999","","Facebook ","More needs to be done to make Lexington more accessible to a wider range of income levels. So many more modest homes are being torn down and replaced with new home twice the size and 3x the price. And new developments are not affordable to many as well. Our schools are expanding rapidly—putting lots of pressure on our school department to meet enrollment needs and the town to fund new classrooms. The town really needs to have a plan in place to address this rapid growth and the financial pressures it has placed on our entire community. More also needs to be done to make commuting into and around Boston easier—the state really needs to invest in expanding public transit and making more efficient. These two issues—housing costs/taxes and commute time are the reasons we consider leaving Lexington in the future. "
"2018/10/09 8:47:59 PM EST","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","","Yes","","","","No","No","","$4,001-$6,000","No","Little","","Some (26-50%)","Yes","Unlikely","40-49 years","5+","none of the above","moved in 1979 and earlier","single family home","$1,750,000-$1,999,999","$200,000 and over","Facebook",""
"2018/10/09 8:48:12 PM EST","Yes","Yes","No","No","Yes","Yes","No","Yes","No","Yes","No","Yes","No","No","N/A","","$2,001-$4,000","No","Some","We have 4 kids under the age of 10","Some (26-50%)","Yes","Unlikely","31-39 years","5+","none of the above","moved in 2010-2014","single family home","$750,000-$999,999","$100,000-$149,999","Lexington mavens",""
"2018/10/09 8:48:17 PM EST","No","No","Yes","No","Yes","No","No","No","No","Yes","Yes","Yes","No","No","No","","","No","Substantial","","Substantial (76-100%)","Yes","Likely","70-79 years","5+","none of the above;N/A","moved in 1979 and earlier","single family home","$750,000-$999,999","N/A","",""
"2018/10/09 8:48:18 PM EST","Yes","No","Yes","No","Yes","Yes","No","No","No","Yes","No","Yes","No","No","No","","","No","","","Significant (51-75%)","Yes","Unlikely","31-39 years","5+","none of the above","moved in 2010-2014","single family home","$1,500,000-$1,749,999","$75,000-$99,000","",""
"2018/10/09 8:48:51 PM EST","Yes","No","Yes","No","Yes","Yes","No","Yes","No","Yes","Yes","No","Yes","Yes","No","","N/A","No","Little","","Little (1-25%)","Yes","Undecided - Possible","50-59 years","4","none of the above","moved in 1990-1999","single family home","N/A","N/A","Facebook post",""
"2018/10/09 8:49:10 PM EST","No","No","Yes","No","Yes","No","Yes","No","No","Yes","No","Yes","No","No","No","","$4,001-$6,000","No","Substantial","Costs of living are unsustainable and beyond ridiculously unaffordable. ","Some (26-50%)","Yes","Definitely","40-49 years","5+","none of the above","moved in 2000-2009","","$750,000-$999,999","N/A","Lexington Mavens",""
"2018/10/09 8:51:24 PM EST","Yes","Yes","Yes","No","Yes","Yes","No","Yes","No","Yes","No","Yes","No","Yes","No","","<$2,000/month","No","None","","Significant (51-75%)","Yes","Likely","50-59 years","4","none of the above","moved in 2000-2009","single family home","$750,000-$999,999","$200,000 and over","",""
"2018/10/09 8:55:00 PM EST","No","No","No","No","No","No","No","No","No","Yes","No","No","No","Yes","No","$3000-$4499","","No","Significant","","Little (1-25%)","Yes","Definitely","40-49 years","4","none of the above","moved in 2015 or later","condominium","N/A","$75,000-$99,000","Lexington Mavens","Lexington has an overly priced housing"
"2018/10/09 8:55:00 PM EST","Yes","Yes","Yes","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","No","No","$1500-2999","N/A","N/A","Significant","","Little (1-25%)","Yes","Unlikely","31-39 years","4","N/A","moved in 2015 or later","single family home","$500,000-$749,999","$35,000-$49,999","Lexington Maevens group ",""
"2018/10/09 8:56:19 PM EST","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","No","No","No","","$10,001+","No","None","","Significant (51-75%)","Yes","Unlikely","50-59 years","4","none of the above","moved in 2000-2009","single family home","$1,750,000-$1,999,999","$200,000 and over","Lexington list (yahoo)",""
"2018/10/09 8:57:45 PM EST","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","No","","$6,001-$8,000","No","Little","","Little (1-25%)","Yes","Undecided - Possible","40-49 years","5+","none of the above","moved in 2015 or later","single family home","$1,750,000-$1,999,999","$200,000 and over","Lexington Facebook group",""
"2018/10/09 8:57:52 PM EST","Yes","Yes","Yes","No","Yes","Yes","No","No","No","Yes","No","Yes","No","Yes","No","$3000-$4499","","No","Significant","","Some (26-50%)","Yes","Definitely Not","31-39 years","3","with a cognitive difficulty","moved in 1990-1999","single family home","$500,000-$749,999","$75,000-$99,000","Facebook ",""
"2018/10/09 8:58:25 PM EST","Yes","No","No","No","No","Yes","No","No","No","No","Yes","Yes","Yes","Yes","No","N/A","<$2,000/month","No","Significant","Worried about increasing property taxes ","Significant (51-75%)","Yes","Undecided - Possible","80 years and over","1","none of the above","moved in 1979 and earlier","single family home","$500,000-$749,999","$50,000-$74,999","Lexington List email","N/A"
"2018/10/09 9:00:52 PM EST","Yes","Yes","Yes","No","No","No","No","Yes","No","Yes","No","Yes","No","Yes","No","$3000-$4499","","No","Significant","","Some (26-50%)","Yes","Likely","40-49 years","4","none of the above","moved in 2000-2009","single family home","$750,000-$999,999","N/A","",""
"2018/10/09 9:01:36 PM EST","No","Yes","Yes","Yes","N/A","Yes","No","No","No","Yes","N/A","No","No","No","No","","$2,001-$4,000","No","Significant","Taxes are high for what we receive and use","Some (26-50%)","Yes","Definitely","40-49 years","4","N/A","moved in 2000-2009","single family home","$750,000-$999,999","$150,000-$199,999","FB group",""
"2018/10/09 9:03:53 PM EST","No","No","Yes","No","Yes","Yes","No","Yes","No","No","No","Yes","No","N/A","No","","","No","None","","","Yes","Unlikely","50-59 years","4","none of the above","moved in 2000-2009","single family home","$1,500,000-$1,749,999","","",""
"2018/10/09 9:07:10 PM EST","No","Yes","No","No","Yes","Yes","No","Yes","No","Yes","No","Yes","No","Yes","No","$1500-2999","","N/A","Substantial","","N/A","No","Definitely","31-39 years","2","N/A","moved in 2015 or later","apartment","N/A","$50,000-$74,999","Facebook - Lexington Mavens",""
"2018/10/09 9:08:22 PM EST","Yes","Yes","Yes","No","Yes","Yes","No","Yes","No","Yes","No","Yes","No","No","N/A","","$10,001+","No","Some","","Little (1-25%)","No","Unlikely","40-49 years","4","none of the above","moved in 2015 or later","single family home","$1,750,000-$1,999,999","$200,000 and over","Email from town, FB group Mavens",""
"2018/10/09 9:10:47 PM EST","Yes","No","No","No","No","Yes","No","No","Yes","No","Yes","Yes","No","Yes","Yes","$0-$1499","","No","Substantial","Single mother divorced no child support live in Lexington for 30 years lost home in divorce from domestic violence","Some (26-50%)","Yes","Definitely Not","60-69 years","2","with a cognitive difficulty","moved in 1990-1999","apartment","","Less than $35,000","Lexington Mavens","Serious need for increased affordable housing and for single adults and adults with adult children as cannot make young adult homeless and need more housing for senior citizens not ghettoized in only senior complexes"
"2018/10/09 9:13:00 PM EST","Yes","No","Yes","No","Yes","Yes","No","Yes","No","Yes","","No","No","Yes","No","","$4,001-$6,000","No","Significant","Taxes are extremely high in Lexington.  Our mortgage payment and monthly expenses require the income of two working adults to support.","Some (26-50%)","Yes","Undecided - Possible","50-59 years","4","none of the above","moved in 2000-2009","single family home","$750,000-$999,999","$200,000 and over","forwarded to me","Our senior citizens and young families need affordable housing.  Our seniors do not need expensive elder care/senior facilities-- they need small single story rental options that are TRULY affordable so they can age in the town they love. "
"2018/10/09 9:13:02 PM EST","No","Yes","Yes","No","Yes","Yes","No","Yes","Yes","Yes","N/A","Yes","No","N/A","","","$6,001-$8,000","No","Some","","Little (1-25%)","Yes","Undecided - Possible","40-49 years","4","N/A","moved in 2010-2014","single family home","$1,250,000-$1,499,999","N/A","",""
"2018/10/09 9:17:41 PM EST","Yes","Yes","No","No","Yes","Yes","No","Yes","No","Yes","N/A","Yes","No","No","No","","$2,001-$4,000","No","Some","","Some (26-50%)","Yes","Likely","50-59 years","4","none of the above","moved in 1990-1999","single family home","$750,000-$999,999","$150,000-$199,999","Lexington list yahoo",""
